trip_id,route_id,route_long_name_x,agency_id,Price,passangers
I2ar40PiiuS-HMI9_KCLc-07:00:00,dpTyJ7ihIOXu0gGo2F3iz,Asafra - El-Sa'ah (Clock Square),P_O_14,4.25,14
40rOFL2qzN26P2ty7q_b9-07:00:00,o8mSXE7IgJWToUsU4NnFr,El-Mansheya - El-Sa'ah (Clock Square),P_O_14,8.25,14
tl8ZQbvleCGCbWdgkRkZg-07:00:00,ndixtJMAJzaQiITLSzYz_,Al-Seyouf (Falaky) - El-Awayed,P_O_14,,14
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,xkITynYnba-VdPTlpu5kL,El-Mansheya - Victoria station,P_O_14,,14
6d2W3a35jKEGSEjY9OqMB-07:00:00,ndixtJMAJzaQiITLSzYz_,Al-Seyouf (Falaky) - El-Awayed,P_O_14,,14
Ass95AtKKd_cJzSpFbbks-07:00:00,QKCnSGkAqgRmQ4fUeYRP-,El-Awayed - El-Sa'ah (Clock Square),P_O_14,2.5,14
TufBf34AgKUOdqfLpoq9_-07:00:00,-Z1R0bmP-3IQrktLaw1-i,El-Awayed - Sidi Gabir,P_O_14,,14
CHPoO06l96ZxXNoM4s7El-07:00:00,4xf9KaKYJRkSlWjtAzeER,El-Awayed - Victoria station,P_O_14,,14
uOo5ud2_KAT6G_nCjg9oe-07:00:00,DaGuT_I6g5QpO40EcF4u7,El-Awayed - Hadra,P_O_14,,14
3wTFymMNfLvqoIaC8VkMX-07:00:00,edXbrlxHb468dADNBXJ2G,Sidi Bishr - Sidi Bishr Tram,P_O_14,,14
7oFBV_-FjsLDgC5o68Mli-07:00:00,uZVFCkC8Mu4Badqh_vUBE,El-Sa'ah (Clock Square) - Sidi Bishr,P_O_14,4.25,14
ofLnCLGBqlPSHxiB_6HP7-07:00:00,rff5rfv-fQCJyBaPUiuhB,El-Mawqaf El-Geded - El-Sa'ah (Clock Square),P_O_14,8.25,14
wlRSKsJwTRTrfl4QBCwtY-07:00:00,dpTyJ7ihIOXu0gGo2F3iz,Asafra - El-Sa'ah (Clock Square),P_O_14,4.25,14
RbB2w0p-_BgwRa6AbSa-b-07:00:00,o8mSXE7IgJWToUsU4NnFr,El-Mansheya - El-Sa'ah (Clock Square),P_O_14,8.25,14
