trip_id,start_time,end_time,headway_secs
OvxARhItfijPV-_xuvfnZ-07:00:00,07:00:00,22:00:00,60
7OIDYqQb_VCEwYHFGH_e5-07:00:00,07:00:00,22:00:00,60
zivMUtHDofqSlzEUoK8F0-07:00:00,07:00:00,22:00:00,360
Hn0eoDFbdIiLk49QaqFeX-07:00:00,07:00:00,22:00:00,540
OI7bd_u7laDmk8SxgppK0-07:00:00,07:00:00,22:00:00,120
_xaRNY3_AfOnhpf5yTE3A-07:00:00,07:00:00,22:00:00,120
I2ar40PiiuS-HMI9_KCLc-07:00:00,07:00:00,22:00:00,180
wlRSKsJwTRTrfl4QBCwtY-07:00:00,07:00:00,22:00:00,180
7PVy-xzsAclt9bvyLn2D_-07:00:00,07:00:00,22:00:00,420
Wq0wtD2-ddsT-JtVfCc3g-07:00:00,07:00:00,22:00:00,540
pLOjOa2QgHvzgt6C_kcel-07:00:00,07:00:00,22:00:00,540
wyt-c9kVSmo-uyx4zLFYT-07:00:00,07:00:00,22:00:00,180
Tv3p8704smtFY_z3ZHnnb-07:00:00,07:00:00,22:00:00,180
tXwMswYEHusmu2vLfRPR2-07:00:00,07:00:00,22:00:00,120
keUygmfQjUMNwNeSanmRs-07:00:00,07:00:00,22:00:00,356
v4sHde8sXh63a1CWeshcp-07:00:00,07:00:00,22:00:00,356
40rOFL2qzN26P2ty7q_b9-07:00:00,07:00:00,22:00:00,300
RbB2w0p-_BgwRa6AbSa-b-07:00:00,07:00:00,22:00:00,300
nnllgPNq1yuc-OXURFNAG-07:00:00,07:00:00,22:00:00,120
dWfTv7gA4CztWg-ijXkTe-07:00:00,07:00:00,22:00:00,120
t3fihouAmNU32d_e7msfe-07:00:00,07:00:00,22:00:00,2700
udcnz_0kW2tOMy6xB2_Ng-07:00:00,07:00:00,22:00:00,2700
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,07:00:00,22:00:00,180
EglZxh1NkJA5Jax303ARy-07:00:00,07:00:00,22:00:00,356
gqntW1mb4ahLW_IHlR39R-07:00:00,07:00:00,22:00:00,356
fZK7Eo97quKfWNkbl9oTR-07:00:00,07:00:00,22:00:00,356
gp93eQ2WYNnUOJrA17bFP-07:00:00,07:00:00,22:00:00,356
3SynmEGmJSDoBYRTRgEkj-07:00:00,07:00:00,22:00:00,180
_npHlyCCY7o0R20RyqvT8-07:00:00,07:00:00,22:00:00,180
M-k1V2EbMTbdd6jCLeoZw-07:00:00,07:00:00,22:00:00,60
wE7GlW3Fb_HPAB66Hhxh1-07:00:00,07:00:00,22:00:00,60
rz-CFcB9J3xy60VYWjZAn-07:00:00,07:00:00,22:00:00,60
6LBLdjAw8E6T2OCvlWEr8-07:00:00,07:00:00,22:00:00,180
1pTTdCYNksTHRhSFGpg76-07:00:00,07:00:00,22:00:00,60
PAh8O-96IhPU2mfK1XGjm-07:00:00,07:00:00,22:00:00,60
jWBg8TvwT24t5ID8oRKxt-07:00:00,07:00:00,22:00:00,356
6d2W3a35jKEGSEjY9OqMB-07:00:00,07:00:00,22:00:00,60
tl8ZQbvleCGCbWdgkRkZg-07:00:00,07:00:00,22:00:00,300
bSYN2peHxalSinpb8v_ie-07:00:00,07:00:00,22:00:00,300
f33WNkS3h2sqBmb32LsDI-07:00:00,07:00:00,22:00:00,300
Ass95AtKKd_cJzSpFbbks-07:00:00,07:00:00,22:00:00,300
K63Xp_QNyqIIHRQrSOVNB-07:00:00,07:00:00,22:00:00,300
KmoDyTTsPPrzF7JK4J700-07:00:00,07:00:00,22:00:00,300
9iBvMMprqaal91Eesle9O-07:00:00,07:00:00,22:00:00,300
xDj2dqi2X96UqHuyUcyqS-07:00:00,07:00:00,22:00:00,300
cPH8TY_FP2nMGpFWXqpQb-07:00:00,07:00:00,22:00:00,300
TufBf34AgKUOdqfLpoq9_-07:00:00,07:00:00,22:00:00,180
Da9EIaUt19ZSMI3qwGvzZ-07:00:00,07:00:00,22:00:00,180
CHPoO06l96ZxXNoM4s7El-07:00:00,07:00:00,22:00:00,240
o9FR1QzxiDSovwQlc0MKb-07:00:00,07:00:00,22:00:00,360
uOo5ud2_KAT6G_nCjg9oe-07:00:00,07:00:00,22:00:00,300
mL3nX7_Swe2eUme5B7Ufy-07:00:00,07:00:00,22:00:00,300
YBp1JQ-cSPCXIHQQ34CmD-07:00:00,07:00:00,22:00:00,356
0I4f41gSbP4Nhu5ZbZZGv-07:00:00,07:00:00,22:00:00,420
1v5hAqd3R5NHO2_mRDJ3z-07:00:00,07:00:00,22:00:00,420
mOAyR9hC46n6ORhDBT2l7-07:00:00,07:00:00,22:00:00,60
-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,07:00:00,22:00:00,540
iUaEgr0LK4VOSZFkdzur6-07:00:00,07:00:00,22:00:00,900
Rr5VrNghCMV3A0qeyJoVf-07:00:00,07:00:00,22:00:00,900
3wTFymMNfLvqoIaC8VkMX-07:00:00,07:00:00,22:00:00,900
gNGHM_FUxY2cAKLH9-ILE-07:00:00,07:00:00,22:00:00,900
7oFBV_-FjsLDgC5o68Mli-07:00:00,07:00:00,22:00:00,540
BSHIbLq-S_VbTLPj0f5S7-07:00:00,07:00:00,22:00:00,120
ofLnCLGBqlPSHxiB_6HP7-07:00:00,07:00:00,22:00:00,180
v6Tq-fJZg1OTVvR_yhueB-07:00:00,07:00:00,22:00:00,180
JjBliHamEx0YUxbao3vZS-07:00:00,07:00:00,22:00:00,300
WWP7DCP2cjGJxPZSN68Y2-07:00:00,07:00:00,22:00:00,300
q_FpxkrHACQ0njq87xh7H-07:00:00,07:00:00,22:00:00,60
RNLlNLhCvrplPJ1T6Rv3G-07:00:00,07:00:00,22:00:00,60
tL1NRyqKwJOCmUECmIQqO-07:00:00,07:00:00,22:00:00,360
z8pSD1wGRKg4oVh4eC0Iw-07:00:00,07:00:00,22:00:00,360
HcF2oktSKDVQXpBv7t2j3-07:00:00,07:00:00,22:00:00,356
wzQQv79eeOAEsj4p6t-wx-07:00:00,07:00:00,22:00:00,356
6OIx6bTrieeeSM5cAiCs--07:00:00,07:00:00,22:00:00,60
dLkT29EUoWOal9hGBCA4x-07:00:00,07:00:00,22:00:00,60
xxgi7P3OGoDShZ0IAQUyL-07:00:00,07:00:00,22:00:00,60
zZPK942_z42ZWwqb9a3ED-07:00:00,07:00:00,22:00:00,60
QyDZF4yDNAntbYpYmjfxj-07:00:00,07:00:00,22:00:00,660
gSfwa8Ce0UZivfHRgFQmi-07:00:00,07:00:00,22:00:00,660
K1fkkoXPyuSsmQKdjzWHd-07:00:00,07:00:00,22:00:00,60
4dazyxD50LYtjM4jq9_Ot-07:00:00,07:00:00,22:00:00,60
x4ViZBh3xZ7dXQ23JVcoJ-07:00:00,07:00:00,22:00:00,60
DQG7BcWUYPP3fo9nY8SBc-07:00:00,07:00:00,22:00:00,180
FUo5FExiKwUTpyTUJYA7R-07:00:00,07:00:00,22:00:00,120
yKUP1GAjkqmvJPLe6dDUV-07:00:00,07:00:00,22:00:00,60
