route_id,agency_id,route_long_name,route_short_name,route_type,continuous_pickup,continuous_drop_off
I46ZQc9g0OMvTpnnq0RXs,P_O_14,Asafra - Sidi Bishr,Microbus ,3,1,1
tv4mLSYvBC5Q4aSnL5h83,P_O_14,Asafra - El-Mawqaf El-Geded,Microbus ,3,1,1
d591FuxnMulU7vr6uNxrB,P_O_14,Asafra - Hadra,Microbus ,3,1,1
ruQq1su0J7bVhBjmIi2kw,P_O_14,Asafra - El-Mansheya,Microbus ,3,1,1
dpTyJ7ihIOXu0gGo2F3iz,P_O_14,Asafra - El-Sa'ah (Clock Square),Microbus ,3,1,1
aeeOOe3-Dtz86MK-Ltc0F,P_O_14,Asafra - El-Awayed,Microbus ,3,1,1
5NjpP8xmvr1-OYnw7E5Jn,P_O_14,El-Mansheya - Sidi Bishr,Microbus ,3,1,1
E14B9x9RNkVqAHJvJBYqa,P_O_14,Al-Seyouf (Falaky) - El-Mansheya,Microbus ,3,1,1
hx4EeoLjM7NJfnYrVfGvk,P_B_8,Al-Rahma - El-Awayed,Tomnaya ,3,1,1
2z926Q9o3YtgjyoxtMW1d,P_O_14,El-Mansheya - El-Mawqaf El-Geded,Microbus ,3,1,1
eW27jXPyPLkZFOoF5g9lr,P_O_14,Airport - Train Station (El-Shohada Square),Microbus ,3,1,1
o8mSXE7IgJWToUsU4NnFr,P_O_14,El-Mansheya - El-Sa'ah (Clock Square),Microbus ,3,1,1
FaHumA7HIyjyuC7E4M1jZ,P_O_14,El-Awayed - El-Mansheya,Microbus ,3,1,1
ndixtJMAJzaQiITLSzYz_,P_O_14,Al-Seyouf (Falaky) - El-Awayed,Microbus ,3,1,1
W1YoMQsS8c1ZcZdd_AJ4R,P_B_8,Al-Milaha - Izbat Hawd 10,Tomnaya ,3,1,1
yX2mhzfbx4_bbd2DANmLp,P_B_8,Al-Milaha - Izbat Hawd 12,Tomnaya ,3,1,1
DKfQEdGZMwRbkHDkrwcPx,P_O_14,Abu Qir - El-Mansheya,Microbus ,3,1,1
xkITynYnba-VdPTlpu5kL,P_O_14,El-Mansheya - Victoria station,Microbus ,3,1,1
lbr0LeYaqC-PO2eSd5dsH,P_O_14,El-Mansheya - Ezbet Saad,Microbus ,3,1,1
O-PLpyiKLXCmTOTN2ykl2,P_O_14,El-Mansheya - Smouha,Microbus ,3,1,1
rJNlVBeJYLnin9iUCfQ8_,P_O_14,El-Mansheya - Hagar Al-Nawateyah (Namos Bridge),Microbus ,3,1,1
7udRe7A9ekRD6rtEEN_uD,P_O_14,Bakus - El-Mansheya,Microbus ,3,1,1
