trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint
_npHlyCCY7o0R20RyqvT8-07:00:00,189,1,07:00:00,07:00:15,0
_npHlyCCY7o0R20RyqvT8-07:00:00,192,2,07:04:58,07:05:13,0
_npHlyCCY7o0R20RyqvT8-07:00:00,197,3,07:07:07,07:07:22,0
_npHlyCCY7o0R20RyqvT8-07:00:00,412,4,07:11:09,07:11:24,0
_npHlyCCY7o0R20RyqvT8-07:00:00,411,5,07:15:53,07:16:08,0
_npHlyCCY7o0R20RyqvT8-07:00:00,413,6,07:19:23,07:19:38,0
_npHlyCCY7o0R20RyqvT8-07:00:00,349,7,07:22:13,07:22:28,0
_npHlyCCY7o0R20RyqvT8-07:00:00,348,8,07:24:29,07:24:44,0
_npHlyCCY7o0R20RyqvT8-07:00:00,322,9,07:27:14,07:27:29,0
_npHlyCCY7o0R20RyqvT8-07:00:00,340,10,07:28:11,07:28:26,0
_npHlyCCY7o0R20RyqvT8-07:00:00,318,11,07:34:34,07:34:49,0
_npHlyCCY7o0R20RyqvT8-07:00:00,311,12,07:36:34,07:36:49,0
_roD5BmPMzsusHgRuqc29-07:00:00,360,1,07:00:00,07:00:15,0
_roD5BmPMzsusHgRuqc29-07:00:00,403,2,07:01:54,07:02:09,0
_roD5BmPMzsusHgRuqc29-07:00:00,406,3,07:03:56,07:04:11,0
_roD5BmPMzsusHgRuqc29-07:00:00,404,4,07:04:54,07:05:09,0
_roD5BmPMzsusHgRuqc29-07:00:00,423,5,07:06:52,07:07:07,0
_roD5BmPMzsusHgRuqc29-07:00:00,167,6,07:10:05,07:10:20,0
_roD5BmPMzsusHgRuqc29-07:00:00,398,7,07:13:50,07:14:05,0
_roD5BmPMzsusHgRuqc29-07:00:00,434,8,07:20:57,07:21:12,0
_roD5BmPMzsusHgRuqc29-07:00:00,395,9,07:30:40,07:30:55,0
_roD5BmPMzsusHgRuqc29-07:00:00,392,10,07:33:47,07:34:02,0
_roD5BmPMzsusHgRuqc29-07:00:00,390,11,07:39:00,07:39:15,0
_roD5BmPMzsusHgRuqc29-07:00:00,393,12,07:51:38,07:51:53,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,98,1,07:00:00,07:00:15,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,130,2,07:04:16,07:04:31,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,131,3,07:05:11,07:05:26,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,133,4,07:06:44,07:06:59,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,203,5,07:07:21,07:07:36,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,205,6,07:08:25,07:08:40,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,207,7,07:10:02,07:10:17,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,209,8,07:12:06,07:12:21,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,211,9,07:13:29,07:13:44,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,214,10,07:14:46,07:15:01,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,218,11,07:15:47,07:16:02,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,220,12,07:18:06,07:18:21,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,231,13,07:19:36,07:19:51,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,233,14,07:21:05,07:21:20,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,237,15,07:22:12,07:22:27,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,235,16,07:23:26,07:23:41,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,239,17,07:25:31,07:25:46,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,245,18,07:26:25,07:26:40,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,243,19,07:27:23,07:27:38,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,241,20,07:28:48,07:29:03,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,229,21,07:30:03,07:30:18,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,225,22,07:30:54,07:31:09,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,223,23,07:32:50,07:33:05,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,198,24,07:33:33,07:33:48,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,196,25,07:34:45,07:35:00,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,193,26,07:36:42,07:36:57,0
_xaRNY3_AfOnhpf5yTE3A-07:00:00,194,27,07:37:46,07:38:01,0
-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,309,1,07:00:00,07:00:15,0
-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,310,2,07:02:29,07:02:44,0
-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,443,3,07:04:06,07:04:21,0
-vGMBy-ffWWJVczaRlv5z-07:00:00,427,1,07:00:00,07:00:15,0
-vGMBy-ffWWJVczaRlv5z-07:00:00,430,2,07:04:26,07:04:41,0
-vGMBy-ffWWJVczaRlv5z-07:00:00,431,3,07:09:47,07:10:02,0
-vGMBy-ffWWJVczaRlv5z-07:00:00,344,4,07:14:13,07:14:28,0
-vGMBy-ffWWJVczaRlv5z-07:00:00,339,5,07:17:40,07:17:55,0
-vGMBy-ffWWJVczaRlv5z-07:00:00,321,6,07:20:26,07:20:41,0
-vGMBy-ffWWJVczaRlv5z-07:00:00,323,7,07:26:11,07:26:26,0
025LCvbNrkhPcZFND6SfE-07:00:00,15,1,07:00:00,07:00:15,0
025LCvbNrkhPcZFND6SfE-07:00:00,6,2,07:03:48,07:04:03,0
025LCvbNrkhPcZFND6SfE-07:00:00,251,3,07:11:12,07:11:27,0
025LCvbNrkhPcZFND6SfE-07:00:00,249,4,07:12:22,07:12:37,0
025LCvbNrkhPcZFND6SfE-07:00:00,121,5,07:14:43,07:14:58,0
0eMropKVlaFEwtKn18KiF-07:00:00,294,1,07:00:00,07:00:15,0
0eMropKVlaFEwtKn18KiF-07:00:00,316,2,07:05:41,07:05:56,0
0eMropKVlaFEwtKn18KiF-07:00:00,290,3,07:08:39,07:08:54,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,403,1,07:00:00,07:00:15,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,200,2,07:01:49,07:02:04,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,199,3,07:02:34,07:02:49,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,224,4,07:03:07,07:03:22,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,226,5,07:04:31,07:04:46,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,230,6,07:05:23,07:05:38,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,242,7,07:06:46,07:07:01,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,244,8,07:08:50,07:09:05,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,246,9,07:10:03,07:10:18,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,240,10,07:10:59,07:11:14,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,236,11,07:12:59,07:13:14,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,238,12,07:14:19,07:14:34,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,234,13,07:15:29,07:15:44,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,232,14,07:16:48,07:17:03,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,221,15,07:18:26,07:18:41,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,219,16,07:21:02,07:21:17,0
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,215,17,07:21:58,07:22:13,0
