route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
I46ZQc9g0OMvTpnnq0RXs,Ground_Daily,Asafra,1,OvxARhItfijPV-_xuvfnZ_Shape,OvxARhItfijPV-_xuvfnZ-07:00:00
tv4mLSYvBC5Q4aSnL5h83,Ground_Daily,Asafra,1,zivMUtHDofqSlzEUoK8F0_Shape,zivMUtHDofqSlzEUoK8F0-07:00:00
d591FuxnMulU7vr6uNxrB,Ground_Daily,Asafra,0,Wq0wtD2-ddsT-JtVfCc3g_Shape,Wq0wtD2-ddsT-JtVfCc3g-07:00:00
ruQq1su0J7bVhBjmIi2kw,Ground_Daily,Asafra,1,OI7bd_u7laDmk8SxgppK0_Shape,OI7bd_u7laDmk8SxgppK0-07:00:00
dpTyJ7ihIOXu0gGo2F3iz,Ground_Daily,Asafra,1,I2ar40PiiuS-HMI9_KCLc_Shape,I2ar40PiiuS-HMI9_KCLc-07:00:00
aeeOOe3-Dtz86MK-Ltc0F,Ground_Daily,Asafra,1,7PVy-xzsAclt9bvyLn2D__Shape,7PVy-xzsAclt9bvyLn2D_-07:00:00
5NjpP8xmvr1-OYnw7E5Jn,Ground_Daily,El-Mansheya,0,wyt-c9kVSmo-uyx4zLFYT_Shape,wyt-c9kVSmo-uyx4zLFYT-07:00:00
E14B9x9RNkVqAHJvJBYqa,Ground_Daily,El-Mansheya,0,tXwMswYEHusmu2vLfRPR2_Shape,tXwMswYEHusmu2vLfRPR2-07:00:00
hx4EeoLjM7NJfnYrVfGvk,Ground_Daily,Al-Rahma,0,cURs_PxThe2b2znIGFxQs_Shape,cURs_PxThe2b2znIGFxQs-07:00:00
2z926Q9o3YtgjyoxtMW1d,Ground_Daily,El-Mansheya,0,keUygmfQjUMNwNeSanmRs_Shape,keUygmfQjUMNwNeSanmRs-07:00:00
ruQq1su0J7bVhBjmIi2kw,Ground_Daily,El-Mansheya,0,_xaRNY3_AfOnhpf5yTE3A_Shape,_xaRNY3_AfOnhpf5yTE3A-07:00:00
