start_trip_id,end_trip_id,start_route_id,end_route_id,start_stop_id,end_stop_id,walking_distance_m,walking_path_nodes
-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,3SynmEGmJSDoBYRTRgEkj-07:00:00,lgA0Qn219kk386RQHCTQ7,rJNlVBeJYLnin9iUCfQ8_,310,310,0.0,[5275557217]
-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,mOAyR9hC46n6ORhDBT2l7-07:00:00,lgA0Qn219kk386RQHCTQ7,lgA0Qn219kk386RQHCTQ7,443,443,0.0,[6311195586]
PAh8O-96IhPU2mfK1XGjm-07:00:00,-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,xg6X_6yI3-x6agQaIKy0r,lgA0Qn219kk386RQHCTQ7,308,309,39.74225946196395,"[1128480896, 1128480646, 1128479568]"
_npHlyCCY7o0R20RyqvT8-07:00:00,-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,rJNlVBeJYLnin9iUCfQ8_,lgA0Qn219kk386RQHCTQ7,311,310,7073.199279577373,"[8011331170, 7928660351, 7928645036, 7928645037, 8011331435, 8011331421, 8429004273, 8429004270, 8011331436, 8011331307, 1893395986, 2931847942, 6977163034, 4166053418, 6977163538, 6977163203, 6977163196, 6977137680, 6977163253, 6977163233, 6977163254, 6977163231, 6977163229, 6977163226, 6977163255, 6480742763, 6977163252, 7116265902, 6977163293, 6977163493, 1888684962, 5559108711, 4166048665, 4166054887, 6990986541, 4166054933, 4166054367, 6990986540, 4166047116, 6990986539, 6480520226, 6990986538, 2931849315, 2931847945, 4166053457, 4166053094, 6477911885, 6988399160, 4166053311, 6478052812, 6477757550, 6477757553, 6477911584, 6478017447, 6478017444, 6478017443, 6478017430, 6478017439, 6478017427, 6477687433, 6988399137, 6987556268, 6478052813, 6988399134, 6987907721, 6987907726, 1888684893, 2931849112, 6987907732, 2931849332, 4168310167, 6509215362, 6509162803, 6987269612, 6987269617, 6987269469, 6987269618, 2931849331, 5275562259, 4168313501, 7024929183, 5275557215, 5275557217]"
-vGMBy-ffWWJVczaRlv5z-07:00:00,8wpT6YlGJmfsskCDg8AJT-07:00:00,d1tk5YD606wPnGF4CLm4i,RSdPdtwiGzlvedMSUpA36,321,322,139.94972374970584,"[2712663245, 6948570678, 6953697312, 6953697314, 1605614943, 2712663257]"
-vGMBy-ffWWJVczaRlv5z-07:00:00,APpubImR-DQ7ipx8VqTDi-07:00:00,d1tk5YD606wPnGF4CLm4i,d1tk5YD606wPnGF4CLm4i,323,326,181.65884038086884,"[6952133530, 1886821135, 11462532250, 1886821204]"
-vGMBy-ffWWJVczaRlv5z-07:00:00,QyDZF4yDNAntbYpYmjfxj-07:00:00,d1tk5YD606wPnGF4CLm4i,8CWoTtootKoeWNjoE5oOP,323,326,181.65884038086884,"[6952133530, 1886821135, 11462532250, 1886821204]"
-vGMBy-ffWWJVczaRlv5z-07:00:00,TufBf34AgKUOdqfLpoq9_-07:00:00,d1tk5YD606wPnGF4CLm4i,-Z1R0bmP-3IQrktLaw1-i,321,322,139.94972374970584,"[2712663245, 6948570678, 6953697312, 6953697314, 1605614943, 2712663257]"
-vGMBy-ffWWJVczaRlv5z-07:00:00,ZBtB-FXg8HG9MZ8swYNuQ-07:00:00,d1tk5YD606wPnGF4CLm4i,50n7_gqFiIrgeNHtVzwF0,323,326,181.65884038086884,"[6952133530, 1886821135, 11462532250, 1886821204]"
-vGMBy-ffWWJVczaRlv5z-07:00:00,aL3IoFC8Ob46ci80-r5J_-07:00:00,d1tk5YD606wPnGF4CLm4i,-H9LP4vuOqj-RIRCZNg_6,323,326,181.65884038086884,"[6952133530, 1886821135, 11462532250, 1886821204]"
-vGMBy-ffWWJVczaRlv5z-07:00:00,fZK7Eo97quKfWNkbl9oTR-07:00:00,d1tk5YD606wPnGF4CLm4i,O-PLpyiKLXCmTOTN2ykl2,321,321,0.0,[2712663245]
-vGMBy-ffWWJVczaRlv5z-07:00:00,kKR0i-pEBtj87zRv8vRz5-07:00:00,d1tk5YD606wPnGF4CLm4i,eW27jXPyPLkZFOoF5g9lr,431,433,9612.028705092203,"[6987297704, 279994098, 6495402446, 8011246309, 1128588539, 2577830979, 7927500442, 6488974434, 2577830980, 7115911103, 6151676018, 8449345301, 5391780416, 299593851, 299593953, 299593951, 7115723381, 10558993687, 10908350527, 10908350528, 10925013053, 10925013049, 10925013054, 10925013056, 10908350533, 10908350600, 10558963662, 8176867221, 4323950582, 5275562428, 6823067926, 5594506892, 7118508954, 6985088937, 6985088938, 6985088944, 7928350869, 7928350878, 1909235369, 4323950954, 4323950968, 1846913195, 1846913182, 1844089254, 1846913191, 1846913198, 1846913194, 1883015930, 1883015943, 6151015981, 1883017451, 6151015983, 6152137675, 7007815820, 6491202791, 6491202787, 6491202786, 6490661859, 6490661848, 6150225301, 6973416383, 6971624105, 6971624107, 6973416459, 6971624111, 6973416461, 6971624096, 6971624095, 6971624098, 6969478587, 6969478589, 6969478630, 6969478616, 6969478594, 6488089147, 6969478590, 8011246201, 6488733328]"
-vGMBy-ffWWJVczaRlv5z-07:00:00,rz-CFcB9J3xy60VYWjZAn-07:00:00,d1tk5YD606wPnGF4CLm4i,kdziSzfhBj4JiBeVoloxo,344,344,0.0,[6480742784]
